b'@Pinkuizback @_garrywalia @ModiLeDubega pro nahi anti caa tha be',b'1232188817345581061',b'laxman TPN',b'LaxmanJaat88',"b'Barmer, India'",b'',b'233',b'343',b'0',b'7782',b'2483',b'False',b'False',b'True',b'False',b'2010-05-07 04:05:46'
"b""\\u0915\\u0930\\u094d\\u0928\\u093e\\u091f\\u0915 \\u0915\\u0947 \\u092e\\u0902\\u0924\\u094d\\u0930\\u0940 \\u0915\\u0947 \\u092c\\u093e\\u0926 \\u0905\\u092c \\u0935\\u093f\\u0927\\u093e\\u092f\\u0915 \\u0928\\u0947 \\u0926\\u093f\\u092f\\u093e \\u0935\\u093f\\u0935\\u093e\\u0926\\u093f\\u0924 \\u092c\\u092f\\u093e\\u0928, \\u0915\\u0939\\u093e- '\\u091c\\u094b \\u092d\\u0940 \\u092a\\u093e\\u0915\\u093f\\u0938\\u094d\\u0924\\u093e\\u0928 \\u0938\\u092e\\u0930\\u094d\\u0925\\u093f\\u0924 \\u0928\\u093e\\u0930\\u0947 \\u0932\\u0917\\u093e\\u090f \\u0909\\u0938\\u0947......'\\u2026 https://t.co/nEu85yofsp""",b'1232175068370702336',b'Oneindia Hindi',b'oneindiaHindi',b'Bangalore',"b'\\u0926\\u0947\\u0936-\\u0926\\u0941\\u0928\\u093f\\u092f\\u093e, \\u0905\\u092a\\u0928\\u0947 \\u0930\\u093e\\u091c\\u094d\\u092f \\u0914\\u0930 \\u0936\\u0939\\u0930 \\u0915\\u0940 \\u0938\\u091a\\u094d\\u091a\\u0940 \\u0914\\u0930 \\u0905\\u091a\\u094d\\u091b\\u0940 \\u0916\\u092c\\u0930\\u094b\\u0902 \\u0938\\u0947 \\u092a\\u0932-\\u092a\\u0932 \\u0930\\u0939\\u0947\\u0902 \\u0905\\u092a\\u0921\\u0947\\u091f - https://t.co/DEEEMe6myH'",b'50583',b'66',b'456',b'218004',b'183',b'True',b'False',b'False',b'False',b'2008-12-17 10:23:54'
b'@MirchiSayema Tera pyara Jihadi Bhai Shahrukh bhi pro CAA thaa? Tu radio Mirchi or Jihadi gaane chalate rah jihandan aapa.',b'1232175061257400320',b'Om Kumar',b'OmKumar82821026',b'',b'',b'1',b'113',b'0',b'141',b'763',b'False',b'True',b'True',b'False',b'2019-04-02 05:04:07'
"b'@syusufiqbal Bsdk uska naam shahrukh khan hai, aur kab se shahrukh naam ke bande pro CAA ho gye?'",b'1232175045046198272',b'xenon',b'xenon_nonex_',b'',b'',b'11',b'19',b'0',b'11',b'5684',b'False',b'False',b'True',b'False',b'2016-10-18 16:11:04'
b'@itssitu It\\u2019s \\u201canti-Muslim\\u201d people like you who are burning our country in the name of \\u201cPro CAA\\u201d riot.',b'1232174998351073280',b'Debiprasad Sahoo',b'debiprasadss',b'',b'Follow my professional twitter handle @debiprasad.',b'46',b'431',b'0',b'804',b'390',b'False',b'False',b'True',b'False',b'2019-10-03 03:15:35'
b'dude do u want me to teach u journalism ??? nd how come their replies tell u anything?? i mean all these journos we\\u2026 https://t.co/kYyQHprOrK',b'1232174890515681280',b'BEST PM RAO',b'freemarketbihar',b'',b'proud bihari . free markets and end of socialism leads to a happy world #sellthebanks',b'134',b'513',b'1',b'3535',b'4675',b'False',b'False',b'True',b'False',b'2010-04-20 09:51:08'
"b""@rose_k01  Please read\\U0001f447. This is Newsx's main Delhi reporter misleading the country. Totally against pro CAA suppor\\u2026 https://t.co/XXWN9uqiYt""",b'1232174742800498688',b'King Of News',b'kingofnews16',b'Delhi India ',b'News analyst. I love India.  I stand with truth. I support the best political party of India.',b'4',b'69',b'0',b'4513',b'1082',b'False',b'False',b'True',b'False',b'2017-05-03 10:50:55'
b'Honourable judge of Apex court says that Dissent is must for Democracy.\\n\\nJust simple question-\\nWhat about the killi\\u2026 https://t.co/QUQZFL9rbl',b'1232174741043023872',b'Shashank Sharma',b'Shashan89780424',"b'New Delhi, India'","b'Indian\\nHindu religion/Geeta Follower/Mata Pita Bhakt\\n\\nPolitics is Passion, \\n\\nProfessional teacher/writer/Accidental Consultant\\nStraight forward'",b'25',b'551',b'0',b'379',b'1273',b'False',b'False',b'True',b'False',b'2019-02-14 18:35:35'
b'Cop to pro-CAA group: \\u2018Go ahead and throw stones\\u2019 https://t.co/IY3UMP74aF',b'1232174703449501696',b'Mumtazv13',b'MumtazVkhan',b'',b'No vaccine for stupidity',b'41',b'53',b'0',b'3312',b'2697',b'False',b'True',b'True',b'False',b'2016-01-15 10:08:52'
b'Indian media called the massacre of Muslims at different points of time in post-Partition India as \\u2018Hindu-Muslim\\u2019 r\\u2026 https://t.co/ES6ueCnOeG',b'1232174702023413762',b'Amii Ghaazi \\u05e2\\u05de\\u05d9 \\u05d2\\u05d0\\u05d6\\u05d9',b'AmiiGhaazi',b'',"b'i am Data Scientist , Play with Data & Number'",b'27',b'141',b'0',b'1746',b'2461',b'False',b'False',b'True',b'False',b'2019-12-06 10:44:56'
"b""@HittsVora Please read\\U0001f447. This is Newsx's main Delhi reporter misleading the country. Totally against pro CAA suppor\\u2026 https://t.co/DDVxi1e7k0""",b'1232174616795181056',b'King Of News',b'kingofnews16',b'Delhi India ',b'News analyst. I love India.  I stand with truth. I support the best political party of India.',b'4',b'69',b'0',b'4513',b'1082',b'False',b'False',b'True',b'False',b'2017-05-03 10:50:55'
b'What is this \\u2018 Pro CAA protestor \\u2018 law passed .. your government .. you are simple a hate filled facist .. trying t\\u2026 https://t.co/xqHKbtzGzV',b'1232174566690058240',b'Abhilash',b'knowabhilash',"b'Bengaluru, Karnataka'",b'Proud Indian \\U0001f1ee\\U0001f1f3',b'971',b'367',b'36',b'40092',b'20709',b'False',b'False',b'False',b'False',b'2010-03-19 06:31:08'
b'@spectatorindex @KapilMishra_IND Here Pro CAA support leader - asking people in hindi to get collect for Pro CAA su\\u2026 https://t.co/ROpXF1xafA',b'1232174369645961216',b'Newyon Choudhary \\u25e2 \\u25e4',b'Dr_Newyon',b'',b'Studying pharmacy with the interest of music to create better Earth so I can live peacefully on Mars Just kidding\\nILikeTo.Explore infinity experience',b'48',b'336',b'0',b'2356',b'4985',b'False',b'False',b'True',b'False',b'2016-06-12 04:47:56'
b'@htTweets @kjshikhar @shivsunny Pro CAA \\u2018rioters\\u2019 Hahahahaha',b'1232174340533129217',b'Livek Dharma',b'livek002',b'',b'',b'0',b'23',b'0',b'108',b'3',b'False',b'False',b'True',b'False',b'2019-11-03 04:35:19'
"b""Adding.. I don't feel there is any need of pro CAA protest, it's already an act! Bullying is what pro CAA protest actually is.""",b'1232174329753997314',b'Sabyasachi',b'sabyasachi29',"b'anand, gujarat, india'","b'marketeer, typical wannabe, interested in all stuffs committed to none. loves history, stories, movies, comics, gaming. tweets/comments are personal opinion'",b'134',b'82',b'1',b'239',b'206',b'False',b'False',b'False',b'False',b'2009-07-01 06:30:10'
b'@AltNews @thisisjignesh @free_thinker Are they all not just goons? What is pro CAA? It\\u2019s a law. You cannot protest in support!',b'1232174203991928834',b'samajhdaarindian',b'jen31552531',b'',"b'Love to read, travel and have invigorating conversations'",b'48',b'217',b'0',b'2480',b'3883',b'False',b'False',b'True',b'False',b'2019-12-24 12:42:08'
"b'@Kritika_Kamra Kis duniya me hai behan,CAA ko na padhe wo, road block kre wo, petrol pump, bikes. Ghro shops me aag\\u2026 https://t.co/VV60K5zFKl'",b'1232174179958411264',b'raj dangwal',b'rajinderdangwal',"b'Ludhiana, Punjab'",b'INDIAN',b'116',b'180',b'0',b'7620',b'51859',b'False',b'False',b'False',b'False',b'2009-09-02 07:44:57'
b'Delhi violence: Jafrabad shooter falsely identified as part of pro-CAA mob https://t.co/dlaF9RK2dT via @AltNews',b'1232174156063465472',b'Brinda Jacob-Janvrin',b'sarah_brinda',"b'Bengaluru, India'","b'#Dancer, movement based #expressivearts therapist. Passionate about the #arts, the mysterious workings of #PsycheSoma & connections between the Body and Earth.'",b'317',b'155',b'12',b'2317',b'4120',b'False',b'False',b'False',b'False',b'2016-10-25 16:25:58'
"b""@spectatorindex Here is the narrative\\n\\nBasically it's clash between Anti-CAA &amp; Pro CAA protesters\\n\\nTo counter prote\\u2026 https://t.co/DYP6huHMGo""",b'1232174105589420033',b'Newyon Choudhary \\u25e2 \\u25e4',b'Dr_Newyon',b'',b'Studying pharmacy with the interest of music to create better Earth so I can live peacefully on Mars Just kidding\\nILikeTo.Explore infinity experience',b'48',b'336',b'0',b'2356',b'4985',b'False',b'False',b'True',b'False',b'2016-06-12 04:47:56'
b'\\u0c95\\u0cb3\\u0cc6\\u0ca6 \\u0c8e\\u0cb0\\u0ca1\\u0cc1 \\u0ca6\\u0cbf\\u0ca8\\u0c97\\u0cb3\\u0cb2\\u0ccd\\u0cb2\\u0cbf \\u0cb8\\u0cbf\\u0c8e\\u0c8e \\u0caa\\u0cb0 \\u0cb5\\u0cbf\\u0cb0\\u0ccb\\u0ca7\\u0ca6 \\u0c95\\u0cbf\\u0c9a\\u0ccd\\u0c9a\\u0cbf\\u0c97\\u0cc6 \\u0cb0\\u0cbe\\u0cb7\\u0ccd\\u0c9f\\u0ccd\\u0cb0 \\u0cb0\\u0cbe\\u0c9c\\u0ca7\\u0cbe\\u0ca8\\u0cbf \\u0cb9\\u0cca\\u0ca4\\u0ccd\\u0ca4\\u0cbf \\u0c89\\u0cb0\\u0cbf\\u0ca6\\u0cbf\\u0ca6\\u0ccd\\u0ca6\\u0cc1 \\u0cb9\\u0cc7\\u0c97\\u0cc6 \\u0c8e\\u0ca8\\u0ccd\\u0ca8\\u0cc1\\u0cb5\\u0cc1\\u0ca6\\u0cb0 \\u0c95\\u0cc1\\u0cb0\\u0cbf\\u0ca4\\u0cc1 \\u0c92\\u0c82\\u0ca6\\u0cc1 \\u0cb5\\u0cb0\\u0ca6\\u0cbf \\u0c87\\u0cb2\\u0ccd\\u0cb2\\u0cbf\\u2026 https://t.co/kpW9wE1mD8',b'1232174082281459712',b'Oneindia Kannada',b'OneindiaKannada',b'Bangalore',"b'News Plus. Comprehensive information in Kannada #\\u0c95\\u0ca8\\u0ccd\\u0ca8\\u0ca1, \\u0c95\\u0cb0\\u0ccd\\u0ca8\\u0cbe\\u0c9f\\u0c95\\u0ca6 \\u0c86\\u0c97\\u0cc1\\u0cb9\\u0ccb\\u0c97\\u0cc1\\u0c97\\u0cb3 \\u0cae\\u0cbe\\u0cb9\\u0cbf\\u0ca4\\u0cbf, \\u0ca4\\u0cbe\\u0c9c\\u0cbe \\u0cb8\\u0cc1\\u0ca6\\u0ccd\\u0ca6\\u0cbf\\u0c97\\u0cb3\\u0ca8\\u0ccd\\u0ca8\\u0cc1 \\u0ca8\\u0cc0\\u0ca1\\u0cc1\\u0cb5 \\u0ca8\\u0c82.1 \\u0caa\\u0ccb\\u0cb0\\u0ccd\\u0c9f\\u0cb2\\u0ccd \\u0c92\\u0ca8\\u0ccd\\u0c87\\u0c82\\u0ca1\\u0cbf\\u0caf\\u0cbe \\u0c95\\u0ca8\\u0ccd\\u0ca8\\u0ca1'",b'79523',b'2913',b'577',b'191611',b'5630',b'True',b'False',b'False',b'False',b'2008-12-17 08:05:06'
"b'Due to the frustration of losing the election the PRO CAA goons are destroying specifically Muslims property ,harmi\\u2026 https://t.co/rnwfrdqDyi'",b'1232174050165895170',b'Dastaan',b'Dastaan35537151',b'',b'Still a kid .Parents dont allow me to use phones or elctronic accessories...Social media is toooo far.',b'0',b'32',b'0',b'17',b'15',b'False',b'False',b'True',b'False',b'2019-01-28 17:26:06'
"b'@moronhumor Its not abt pro or anti CAA, it about morons living in India who are blind and cant see that Modi is le\\u2026 https://t.co/OKqcjiPEzI'",b'1232174037364703234',b'Bitts N',b'bitts1969',b'',"b'Loves Cricket, Indian Politics, Laugh Clubbers, Democracy and Freedom of Speech and Expression, am secular by nature.'",b'0',b'14',b'0',b'390',b'217',b'False',b'False',b'True',b'False',b'2018-11-13 17:39:24'
b'@Kritika_Kamra Anti CAA is nothing pro Muslim because CAA is not against INDIAN Muslims. It is not giving cizenship\\u2026 https://t.co/xp1lS3CbVm',b'1232173985577586689',b'Nagendra Rao',b'NagendraRaoTR',b'Manipal',b'',b'138',b'71',b'4',b'5528',b'470',b'False',b'False',b'True',b'False',b'2010-06-06 05:31:59'
"b""@rose_k01 So Delhi is new Kashmir now. \\n\\nI'm against both pro and anti caa protest. Humanity is my religion. \\n\\nBhai\\u2026 https://t.co/qAm6EFhEH4""",b'1232173942795685888',b'Beast Slayer',b'BeastSl51427506',b'',b'',b'1',b'101',b'0',b'126',b'5',b'False',b'False',b'True',b'False',b'2019-09-20 08:40:46'
"b'@Kritika_Kamra Yes, i am Pro CAA and so called ""anti muslim"" with 90% muslim friends in real life \\U0001f602\\U0001f602\\U0001f602'",b'1232173893609250821',b'\\U0001f549\\ufe0f HK Rathod \\U0001f549\\ufe0f',b'ThepLa_Eater',b'Your Heart',b'Respect All Religions. \\nProud Indian!  Proud Hindu!\\nJai Shree Ram !\\nNamo Again !',b'45',b'457',b'0',b'875',b'1241',b'False',b'False',b'True',b'False',b'2014-11-25 14:42:21'
b'@desh_bhkt @shammybaweja https://t.co/ialDinAjWm',b'1232173881038753792',b'Hasnat Israq',b'hasnatrbm',b'',"b""There's no bigger task than protecting the homeland & Revolutionized its system ...... Want to Change the Country & World""",b'254',b'2265',b'0',b'2099',b'30712',b'False',b'False',b'False',b'False',b'2011-06-24 10:46:05'
b'@Javedakhtarjadu @DelhiPolice pls full sirs wish of final solution. You are naming @KapilMishra_IND for pro caa. Y\\u2026 https://t.co/XI6M0ucI8i',b'1232173849241776129',b'pnp',b'pnpai',b'Mangalore',b'Practicing Company Secretary',b'58',b'128',b'0',b'202',b'48',b'False',b'False',b'False',b'False',b'2010-02-27 12:01:37'
"b""@sumeet326 @Raviravirai @annavetticad @ReallySwara @RubikaLiyaquat Violence wasn't from anti CAA, it is done by RSS\\u2026 https://t.co/RtZyrHQKV9""",b'1232173731151138817',b'\\u0928\\u0926\\u0940\\u092e / \\u0646\\u062f \\u06cc\\u0645 / \\u0a28\\u0a26\\u0a40\\u0a2e',b'Notorious_jos',b'Pinjrae ch',b'keh k lae gae ( Azzadi)',b'14',b'169',b'0',b'1145',b'449',b'False',b'False',b'True',b'False',b'2019-05-23 04:40:49'
b'#Delhi \\u092e\\u0947\\u0902 \\u0932\\u0917\\u093e\\u0924\\u093e\\u0930 \\u0924\\u0940\\u0938\\u0930\\u0947 \\u0926\\u093f\\u0928 \\u092d\\u0940 \\u0909\\u092a\\u0926\\u094d\\u0930\\u0935\\n#DelhiBurning #DelhiRiots #DelhiViolence \\nhttps://t.co/YV5mH5LDzd',b'1232173700268449792',b'Surya Samachar',b'SuryaSamachar',"b'Noida, India'",b'Live: https://t.co/pLJ71nmejV   || Ph: 0120-2558247 ||FB : @suryasamachar || YT: c/SuryaSamachar || IG: suryasamachar.official',b'2367',b'190',b'4',b'4469',b'110',b'False',b'False',b'False',b'False',b'2017-03-03 09:17:54'
b'Delhi violence: Jafrabad shooter falsely identified as part of pro-CAA mob https://t.co/sT34lnWbvW',b'1232173693888974848',b'PUNEET VIZH',b'Puneetvizh',"b'Haryana, India'","b'B Tech.Follow Stock Market.Likes Books,Music,Western Classic Movies .'",b'2979',b'443',b'43',b'168656',b'17844',b'False',b'False',b'False',b'False',b'2015-01-28 15:16:36'
b'@anuragkashyap72 \\u0914\\u0930 pro CAA \\u0915\\u094c\\u0928 \\u0939\\u0948??\\n\\u0907\\u0938\\u094d\\u0932\\u093e\\u092e\\u093f\\u0915 radicals ?? https://t.co/FKyobSp7R2',b'1232173634921336833',b'D\\u090f\\u0936\\u092d\\u0915\\u094d\\u0924',b'NetajiFan',"b'New Delhi, India'",b'#ProudIndian #SarkariStudent #Mechanical #bjpSupporter #Hindu #Modifan',b'121',b'113',b'1',b'1220',b'3410',b'False',b'False',b'True',b'False',b'2016-04-19 12:18:23'
b'No pro CAA must be allowed?! tumhare baap ka raaj hai kya. https://t.co/jbDIasiaun',b'1232173622799802368',b'On Hindu Rights!',b'potholemumbai',b'',b'.',b'162',b'704',b'9',b'16277',b'15977',b'False',b'False',b'True',b'False',b'2015-10-12 16:06:11'
b'@VishalDadlani So you mean pro CAA CAA group have no right to support or protest.',b'1232173440678977536',b'Arjun Bhatt',b'MahaKal_Devotee',b'India',"b'Unapologetic Hindu, Rudra Devotee, Against political-correctness,\\nHealthcare Entrepreneur.'",b'56',b'102',b'0',b'5501',b'13707',b'False',b'False',b'True',b'False',b'2020-01-23 09:55:50'
b'@abbas_nighat Hie dare you talk about @ReallySwara mam like this\\nvo 10 saal main apni age 16 saal badha sakti h aap\\u2026 https://t.co/uUXACLoIm3',b'1232173385867763712',b'DrParadox',b'DrParadox20',b'',b'Time Traveller \\nMaster Of Space and Time\\nburned @twitter 3 times\\nI will always return',b'1',b'187',b'0',b'799',b'1673',b'False',b'False',b'True',b'False',b'2019-10-11 01:49:07'
"b'@saavy_m @the_hindu While referring 2 hike in sedition cases against activists, lawyers &amp; students, ghis is what he\\u2026 https://t.co/NfQOH8NYLA'",b'1232173370621317120',b'Lekha Vishwanath',b'lekhavish',b'',b'',b'12',b'19',b'0',b'1024',b'2320',b'False',b'True',b'True',b'False',b'2016-01-04 15:00:57'
"b'@harshapatel2013 @BJPBalochistan These people want that right of protest remain only with them, as they have right\\u2026 https://t.co/2IbkOc0f39'",b'1232173368578732032',b'Abhi',b'Abhi65258688',b'',"b'Indian, social changemaker'",b'29',b'68',b'0',b'3418',b'3350',b'False',b'False',b'True',b'False',b'2018-05-22 12:08:58'
b'Has Delhi forgotten about Rambhakt Gopal? and now there is Shahrukh. There are violent people. Why does religion al\\u2026 https://t.co/6IULUMDqTO',b'1232173355173724160',b'RealReport',b'report_real',b'',b'A news platform where you can get your daily dose of political current affairs.',b'1375',b'0',b'10',b'1759',b'148',b'True',b'False',b'True',b'False',b'2017-10-14 02:34:00'
"b""Let's be absolutely clear about one thing. There are no PRO CAA PROTESTERS. Stop calling them that.\\nCAA is already\\u2026 https://t.co/uKz4bgcpKe""",b'1232173319471812610',b'K K Ahmed',b'iKKAhmed',"b'Dubai, United Arab Emirates'",b'\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u0639\\u062c\\u0645\\u06cc \\u062e\\u0645 \\u06c1\\u06d2 \\u062a\\u0648 \\u06a9\\u06cc\\u0627 \\u0645\\u06d2 \\u062a\\u0648 \\u062d\\u062c\\u0627\\u0632\\u06cc \\u06c1\\u06d2 \\u0645\\u0631\\u06cc_____\\u0646\\u063a\\u0645\\u06c1 \\u06c1\\u0646\\u062f\\u06cc \\u06c1\\u06d2 \\u062a\\u0648 \\u06a9\\u06cc\\u0627 \\u0644\\u06d2 \\u062a\\u0648 \\u062d\\u062c\\u0627\\u0632\\u06cc \\u06c1\\u06d2 \\u0645\\u0631\\u06cc\\n\\n           [RT & like are not Endorsement]',b'954',b'77',b'0',b'950',b'1883',b'False',b'False',b'True',b'False',b'2017-12-05 14:36:16'
b'https://t.co/pOLNd34Rp1',b'1232173264170094592',b'mahammadsalim',b'saleem10411',b'',b'',b'0',b'11',b'0',b'14',b'0',b'False',b'True',b'True',b'False',b'2012-02-09 12:20:06'
"b'@Javedakhtarjadu What about 15cr vs 100cr of Waris pathan.\\nIf ppl HV right to go on streets against CAA,Kapil Mishr\\u2026 https://t.co/H1LL4Cg6D0'",b'1232173217072242688',b'Thedecent1\\U0001f1ee\\U0001f1f3',b'Thedecentone3',b'India',b'Enjoy Interaction\\U0001f60a\\U0001f609|News Junkie\\U0001f4af\\U0001f523|Love My Country\\U0001f1ee\\U0001f1f3|Anti Dynasty\\U0001f6ab|Political Observer|Own Views Here|\\nWas Born Intelligent But Education Ruined Me....\\U0001f607\\U0001f635',b'20',b'189',b'0',b'3761',b'3573',b'False',b'False',b'True',b'False',b'2019-03-07 16:52:41'
b'@jgopikrishnan70 So that the likes of you can  toast the pro CAA ?',b'1232173157131243521',b'R Sundaram',b'sundaramster',"b'Chennai, India'",b'',b'29',b'103',b'0',b'6388',b'2017',b'False',b'True',b'True',b'False',b'2014-10-14 18:16:18'
b'@Kritika_Kamra First stop calling them anti CAA &amp; call them anti Hindu pro Pakistani terrorist.',b'1232173156049313798',b'\\u0906\\u0915\\u093e\\u0936-\\u0935\\u093e\\u0923\\u0940 \\u0968.\\u0966',b'ka_karba_jaanke',b'',b'\\u0936\\u0941\\u0926\\u094d\\u0927 \\u092e\\u093f\\u0930\\u094d\\u091c\\u093e\\u092a\\u0941\\u0930\\u0940',b'8',b'77',b'0',b'2232',b'6872',b'False',b'True',b'True',b'False',b'2015-02-19 08:58:20'
"b'@UnSubtleDesi the image is systematically made to disappear. no one is using that any more.\\nrather, a new image is\\u2026 https://t.co/0M0NID3Ow2'",b'1232173055117418496',b'jahanteriyehnazarhai',b'nainmattaka',b'',b'',b'6',b'38',b'0',b'648',b'1198',b'False',b'False',b'True',b'False',b'2015-09-15 11:21:20'
b'People are finding it hard to say so I will say it. These are not Pro CAA goons causing ruckus these are communal r\\u2026 https://t.co/einNq1wULR',b'1232173048280862720',b'Faraz',b'mohammadfaraz89',"b'New Delhi , India'","b'Small impacts at a time.Interpreting Quran and Hadiths. Inhale Badminton, exhale Football. Democratic, Pro People. I diet I gain my shape I eat I gain my weight'",b'271',b'420',b'3',b'4760',b'7988',b'False',b'False',b'False',b'False',b'2012-03-09 20:00:55'
"b'\\u0915\\u0947\\u0935\\u0932 \\u092a\\u094d\\u0930\\u093e\\u0923 \\u0928\\u093f\\u0915\\u0932\\u0928\\u0947 \\u0938\\u0947 \\u092e\\u0943\\u0924\\u094d\\u092f\\u0941 \\u0928\\u0939\\u0940 \\u0939\\u094b\\u0924\\u0940,\\u092e\\u0930\\u093e \\u0939\\u0941\\u0906 \\u0924\\u094b \\u0935\\u0939 \\u092d\\u0940 \\u0939\\u0948 \\u091c\\u094b \\u0905\\u092a\\u0928\\u0947 \\u0927\\u0930\\u094d\\u092e \\u0938\\u0902\\u0938\\u094d\\u0915\\u0943\\u0924\\u093f \\u092a\\u0930 \\u0906\\u0918\\u093e\\u0924 \\u0939\\u094b\\u0924\\u0947 \\u0939\\u0941\\u090f \\u092d\\u0940 \\u092e\\u094c\\u0928 \\u0939\\u0948\\u0964 \\u0905\\u092a\\u0928\\u0947 \\u0930\\u0915\\u094d\\u2026 https://t.co/8bIo9jZuCe'",b'1232172902340059136',b'Rekha karn',b'Rekhakarn1',"b'Patna, India'","b'\\u091c\\u093f\\u0938\\u0915\\u093e \\u091c\\u0948\\u0938\\u093e \\u091a\\u0930\\u093f\\u0924\\u094d\\u0930 \\u0939\\u094b\\u0924\\u093e,\\u0935\\u0948\\u0938\\u093e \\u0939\\u0940 \\u0909\\u0938\\u0915\\u093e \\u092e\\u093f\\u0924\\u094d\\u0930 \\u0939\\u094b\\u0924\\u093e\\u0964\\u0936\\u0941\\u0926\\u094d\\u0927\\u0924\\u093e \\u092c\\u093f\\u091a\\u093e\\u0930\\u094b\\u0902 \\u092e\\u0947\\u0902 \\u0939\\u094b\\u0924\\u0940 \\u0939\\u0948,'",b'379',b'207',b'0',b'1418',b'3132',b'False',b'False',b'True',b'False',b'2017-06-21 06:26:36'
"b'@NityJayaraman Pro #CAA_NRC_NPR supporters must be given the ""STATE SPONSORED SUPPORT"" to lynch the illegal\\u2026 https://t.co/ByuGY1xFgV'",b'1232172865513902080',b'RadhaKrishnan... \\U0001f30e\\U0001f30d\\U0001f30f',b'RadaCristhna',"b'Tamil Nadu, India'",b'FREEDS SEEDS NEEDS LEADS GREEDS n WEEDS\\n\\n\\n\\n\\ncheck your shadowban status at https://t.co/9KbyEQ2fMg',b'217',b'2274',b'4',b'25987',b'328',b'False',b'False',b'False',b'False',b'2016-12-20 04:41:48'
b'\\u0905\\u0917\\u0930 \\u0905\\u092c \\u092d\\u0940 \\u0932\\u0917\\u0924\\u093e \\u0939\\u0948 \\u0915\\u093f \\u092f\\u0939 \\u0926\\u0902\\u0917\\u093e \\u0939\\u0948 \\u0924\\u094b \\u0906\\u092a \\u0928\\u093f\\u0939\\u093e\\u092f\\u0924 \\u0939\\u0940 \\u092e\\u0942\\u0930\\u094d\\u0916 \\u0907\\u0902\\u0938\\u093e\\u0928 \\u0939\\u0948\\u0902\\n\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0939\\u093f\\u0902\\u0938\\u093e: \\u0939\\u093f\\u0928\\u094d\\u0926\\u0942 \\u092d\\u093e\\u0908 \\u0939\\u094b? \\u0939\\u093e\\u0902 \\u092e\\u0947\\u0902 \\u0938\\u093f\\u0930 \\u0939\\u093f\\u0932\\u093e\\u092f\\u093e \\u0924\\u094b\\u2026 https://t.co/1VFznqstVT',b'1232172806546194432',b'Jitendra Kumar',b'Biharibole',b'Delhi',"b'Journalist,Writer and Translator. Supporter of Social Justice & Secularism. Argumentative Marxist. Social JUSTICE at any cost!'",b'413',b'153',b'7',b'1921',b'2133',b'False',b'False',b'False',b'False',b'2014-11-14 12:37:11'
"b'@_YogendraYadav @POTUS Remember, all connected with Pro or anti CAA protests, once you decide to ride a tiger you c\\u2026 https://t.co/CHd4423h9Z'",b'1232172489872011264',b'lekha manohar',b'lekhamanohar',b'new delhi',b'Indian',b'238',b'392',b'5',b'8054',b'4091',b'False',b'False',b'True',b'False',b'2010-02-04 02:20:15'
b'@VishalDadlani Acc to him shahrukh the killer of Ratan Lal was pro CAA',b'1232172478417571841',b'jindal sahil',b'sahiljindal1',b'India',b'Political Junkie \\nAaptards & Sickular stay away ||\\nDesh pr Garv hai || \\ninstagram- sahil.jindal520 || crazy || \\noptimistic || proud indian || #TransformingIndia',b'196',b'219',b'36',b'20319',b'3239',b'False',b'False',b'False',b'False',b'2011-04-26 11:23:01'
b'Cop to pro-CAA group: \\u2018Go ahead and throw stones\\u2019 https://t.co/FZCaxdgz7Z',b'1232172283617112064',b'Santasree Chaudhuri',b'Iamsantasree',"b'Kolkata,India'","b""Social entrepreneur,Women's rights Activist. Advocate of peace,non violence & gender equality.Practicing Buddhist,.Avid traveler, Poet,Poetry Film Maker.""",b'909',b'197',b'90',b'106246',b'89774',b'False',b'False',b'False',b'False',b'2010-05-19 10:41:08'
b'@amitmalviya Where is your police. Pelting the stones with Pro CAA roiters.',b'1232172195452841984',b'Tamasha Been',b'meetme1987',"b'New Delhi, India'","b'Foodie, Urban Naxal,\\nRSS Shakha School, Jamia Millia Islamia.\\nRetweets are not endorsements.'",b'132',b'773',b'0',b'11007',b'17506',b'False',b'False',b'False',b'False',b'2012-01-13 15:19:26'
b'@AamAadmiParty @ArvindKejriwal Strong action must be taken against these so called PRO CAA goons and their partner Delhi Police.',b'1232171935771103232',b'Mushahid Anwar',b'ArMushahidAnwar',"b'Delhi, India'","b'An Architect, Assistant Professor'",b'12',b'56',b'0',b'8',b'586',b'False',b'False',b'True',b'False',b'2019-12-21 11:27:48'
b'Delhi violence: Jafrabad shooter falsely identified as part of pro-CAA mob https://t.co/N9136Y3Y5z via @AltNews',b'1232171927302635521',b'Dhanya Rajendran',b'dhanyarajendran',"b'bengaluru, india'","b""Journalist. Editor-in-chief @thenewsminute . Views personal, don't troll TNM for it. https://t.co/p7JTC3eRmQ\\u2026""",b'220238',b'2902',b'1000',b'100718',b'6598',b'True',b'False',b'False',b'False',b'2009-07-28 07:42:48'
